iter	Passed	Remaining
649	1118	602
650	1119	600
651	1120	597
652	1121	595
653	1122	593
654	1123	591
655	1124	589
656	1126	587
657	1127	585
658	1128	583
659	1129	581
660	1130	579
661	1131	577
662	1132	575
663	1133	573
664	1135	571
665	1136	569
666	1137	567
667	1138	565
668	1139	563
669	1140	561
670	1141	559
671	1143	557
672	1144	555
673	1145	553
674	1146	552
675	1147	550
676	1148	548
677	1150	546
678	1151	544
679	1152	542
680	1153	540
681	1154	538
682	1155	536
683	1156	534
684	1158	532
685	1159	530
686	1160	528
687	1161	526
688	1162	524
689	1163	522
690	1164	520
691	1165	518
692	1166	516
693	1167	514
694	1168	512
695	1170	511
696	1171	509
697	1173	507
698	1174	505
699	1175	503
700	1176	501
701	1177	499
702	1178	497
703	1179	495
704	1180	493
705	1181	491
706	1182	489
707	1183	488
708	1184	486
709	1185	484
710	1186	482
711	1188	480
712	1189	478
713	1190	476
714	1191	475
715	1193	473
716	1194	471
717	1195	469
718	1196	467
719	1197	465
720	1198	463
721	1199	461
722	1200	460
723	1201	458
724	1203	456
725	1204	454
726	1205	452
727	1206	450
728	1207	448
729	1208	447
730	1209	445
731	1210	443
732	1212	441
733	1213	439
734	1214	437
735	1215	436
736	1216	434
737	1218	432
738	1219	430
739	1220	428
740	1221	427
741	1222	425
742	1223	423
743	1224	421
744	1225	419
745	1226	417
746	1227	415
747	1228	414
748	1230	412
749	1231	410
750	1232	408
751	1233	406
752	1234	405
753	1235	403
754	1237	401
755	1238	399
756	1239	397
757	1240	396
758	1241	394
759	1243	392
760	1244	390
761	1245	388
762	1246	387
763	1247	385
764	1249	383
765	1250	382
766	1251	380
767	1253	378
768	1253	376
769	1255	374
770	1256	373
771	1257	371
772	1258	369
773	1258	367
774	1259	365
775	1260	363
776	1261	362
777	1263	360
778	1264	358
779	1265	356
780	1266	355
781	1267	353
782	1268	351
783	1269	349
784	1271	348
785	1272	346
786	1273	344
787	1274	342
788	1276	341
789	1277	339
790	1278	337
791	1279	336
792	1280	334
793	1281	332
794	1283	330
795	1284	329
796	1286	327
797	1287	325
798	1288	324
799	1289	322
800	1290	320
801	1291	318
802	1292	317
803	1294	315
804	1295	313
805	1296	311
806	1297	310
807	1298	308
808	1299	306
809	1300	304
810	1301	303
811	1302	301
812	1303	299
813	1304	298
814	1305	296
815	1306	294
816	1308	293
817	1309	291
818	1310	289
819	1311	287
820	1313	286
821	1314	284
822	1315	282
823	1317	281
824	1318	279
825	1319	277
826	1320	276
827	1321	274
828	1322	272
829	1323	271
830	1325	269
831	1326	267
832	1327	266
833	1328	264
834	1329	262
835	1330	261
836	1331	259
837	1332	257
838	1333	255
839	1334	254
840	1336	252
841	1337	250
842	1338	249
843	1340	247
844	1342	246
845	1343	244
846	1345	242
847	1346	241
848	1347	239
849	1348	237
850	1349	236
851	1350	234
852	1351	232
853	1352	231
854	1353	229
855	1355	228
856	1356	226
857	1357	224
858	1358	223
859	1360	221
860	1361	219
861	1362	218
862	1363	216
863	1364	214
864	1365	213
865	1366	211
866	1367	209
867	1368	208
868	1369	206
869	1370	204
870	1372	203
871	1373	201
872	1374	199
873	1376	198
874	1377	196
875	1378	195
876	1379	193
877	1380	191
878	1381	190
879	1382	188
880	1383	186
881	1384	185
882	1386	183
883	1387	182
884	1388	180
885	1389	178
886	1390	177
887	1391	175
888	1392	173
889	1393	172
890	1394	170
891	1395	169
892	1396	167
893	1397	165
